Período,Região ID,Valor
2014-01-15T00:00:00.000Z,14,30.35
2014-01-15T00:00:00.000Z,53,30.42
2001-01-15T00:00:00.000Z,14,30.47
2010-01-15T00:00:00.000Z,13,30.47
2013-01-15T00:00:00.000Z,53,30.55
2006-01-15T00:00:00.000Z,51,30.61
2020-01-15T00:00:00.000Z,32,30.61
2009-01-15T00:00:00.000Z,33,30.7
2002-01-15T00:00:00.000Z,50,30.71
2024-01-15T00:00:00.000Z,21,30.81
2001-01-15T00:00:00.000Z,53,30.84
2018-01-15T00:00:00.000Z,25,30.86
2021-01-15T00:00:00.000Z,11,30.93
2011-01-15T00:00:00.000Z,41,30.94
2024-01-15T00:00:00.000Z,13,30.97
2021-01-15T00:00:00.000Z,32,30.99
2008-01-15T00:00:00.000Z,11,31.01
2013-01-15T00:00:00.000Z,16,31.08
2020-01-15T00:00:00.000Z,17,31.08
2008-01-15T00:00:00.000Z,51,31.1
2000-01-15T00:00:00.000Z,16,31.14
2009-01-15T00:00:00.000Z,52,31.18
2003-01-15T00:00:00.000Z,50,31.19
2010-01-15T00:00:00.000Z,51,31.38
2000-01-15T00:00:00.000Z,53,31.43
2023-01-15T00:00:00.000Z,11,31.43
2003-01-15T00:00:00.000Z,53,31.46
2010-01-15T00:00:00.000Z,23,31.47
2005-01-15T00:00:00.000Z,51,31.5
2008-01-15T00:00:00.000Z,53,31.51
2021-01-15T00:00:00.000Z,27,31.57
2011-01-15T00:00:00.000Z,51,31.6
2009-01-15T00:00:00.000Z,28,31.61
2017-01-15T00:00:00.000Z,21,31.64
2010-01-15T00:00:00.000Z,33,31.69
2013-01-15T00:00:00.000Z,13,31.89
2017-01-15T00:00:00.000Z,51,31.92
2012-01-15T00:00:00.000Z,41,31.94
2014-01-15T00:00:00.000Z,33,31.96
2010-01-15T00:00:00.000Z,52,32
2024-01-15T00:00:00.000Z,16,32.01
2008-01-15T00:00:00.000Z,16,32.03
2013-01-15T00:00:00.000Z,21,32.03
2020-01-15T00:00:00.000Z,13,32.17
2012-01-15T00:00:00.000Z,11,32.35
2016-01-15T00:00:00.000Z,33,32.36
2010-01-15T00:00:00.000Z,28,32.38
2023-01-15T00:00:00.000Z,23,32.4
2011-01-15T00:00:00.000Z,23,32.47
2005-01-15T00:00:00.000Z,16,32.49
2006-01-15T00:00:00.000Z,16,32.51
2021-01-15T00:00:00.000Z,15,32.55
2003-01-15T00:00:00.000Z,51,32.63
2009-01-15T00:00:00.000Z,51,32.65
2014-01-15T00:00:00.000Z,13,32.65
2011-01-15T00:00:00.000Z,24,32.66
2016-01-15T00:00:00.000Z,32,32.73
2017-01-15T00:00:00.000Z,11,32.75
2020-01-15T00:00:00.000Z,15,32.76
2008-01-15T00:00:00.000Z,41,32.77
2018-01-15T00:00:00.000Z,33,32.77
2003-01-15T00:00:00.000Z,16,32.8
2022-01-15T00:00:00.000Z,15,32.82
2008-01-15T00:00:00.000Z,33,32.83
2022-01-15T00:00:00.000Z,23,32.96
2002-01-15T00:00:00.000Z,14,33.08
2024-01-15T00:00:00.000Z,29,33.14
2002-01-15T00:00:00.000Z,16,33.29
2009-01-15T00:00:00.000Z,25,33.36
2012-01-15T00:00:00.000Z,51,33.37
2010-01-15T00:00:00.000Z,41,33.52
2002-01-15T00:00:00.000Z,27,33.58
2017-01-15T00:00:00.000Z,25,33.58
2022-01-15T00:00:00.000Z,28,33.6
2015-01-15T00:00:00.000Z,17,33.64
2009-01-15T00:00:00.000Z,53,33.69
2011-01-15T00:00:00.000Z,53,33.71
2000-01-15T00:00:00.000Z,11,33.85
2022-01-15T00:00:00.000Z,14,34.01
2022-01-15T00:00:00.000Z,24,34.04
2008-01-15T00:00:00.000Z,29,34.11
2024-01-15T00:00:00.000Z,23,34.14
2016-01-15T00:00:00.000Z,25,34.24
2009-01-15T00:00:00.000Z,11,34.27
2010-01-15T00:00:00.000Z,11,34.32
2013-01-15T00:00:00.000Z,26,34.34
2017-01-15T00:00:00.000Z,33,34.34
2004-01-15T00:00:00.000Z,27,34.39
2021-01-15T00:00:00.000Z,24,34.39
2022-01-15T00:00:00.000Z,11,34.47
2012-01-15T00:00:00.000Z,24,34.54
2002-01-15T00:00:00.000Z,51,34.68
2011-01-15T00:00:00.000Z,28,34.69
2022-01-15T00:00:00.000Z,27,34.71
2009-01-15T00:00:00.000Z,41,34.75
2019-01-15T00:00:00.000Z,27,34.75
2021-01-15T00:00:00.000Z,28,34.75
2014-01-15T00:00:00.000Z,16,34.79
2001-01-15T00:00:00.000Z,16,34.82
2003-01-15T00:00:00.000Z,27,34.85
2016-01-15T00:00:00.000Z,51,34.88
2014-01-15T00:00:00.000Z,11,34.93
2016-01-15T00:00:00.000Z,21,35.08
2020-01-15T00:00:00.000Z,12,35.2
2012-01-15T00:00:00.000Z,53,35.22
2003-01-15T00:00:00.000Z,35,35.24
2012-01-15T00:00:00.000Z,16,35.54
2023-01-15T00:00:00.000Z,27,35.57
2024-01-15T00:00:00.000Z,27,35.65
2015-01-15T00:00:00.000Z,21,35.69
2011-01-15T00:00:00.000Z,13,35.77
2013-01-15T00:00:00.000Z,51,35.8
2022-01-15T00:00:00.000Z,26,35.91
2017-01-15T00:00:00.000Z,17,35.97
2015-01-15T00:00:00.000Z,11,35.99
2015-01-15T00:00:00.000Z,51,36.03
2014-01-15T00:00:00.000Z,21,36.17
2011-01-15T00:00:00.000Z,52,36.25
2021-01-15T00:00:00.000Z,26,36.27
2001-01-15T00:00:00.000Z,51,36.28
2012-01-15T00:00:00.000Z,13,36.59
2018-01-15T00:00:00.000Z,17,36.65
2023-01-15T00:00:00.000Z,13,36.67
2014-01-15T00:00:00.000Z,26,36.68
2024-01-15T00:00:00.000Z,26,36.78
2012-01-15T00:00:00.000Z,26,36.8
2020-01-15T00:00:00.000Z,14,36.82
2019-01-15T00:00:00.000Z,26,36.97
2016-01-15T00:00:00.000Z,14,37.03
2016-01-15T00:00:00.000Z,13,37.09
2002-01-15T00:00:00.000Z,35,37.17
2005-01-15T00:00:00.000Z,11,37.43
2020-01-15T00:00:00.000Z,27,37.45
2000-01-15T00:00:00.000Z,51,37.67
2019-01-15T00:00:00.000Z,14,37.69
2018-01-15T00:00:00.000Z,52,37.73
2015-01-15T00:00:00.000Z,32,37.77
2010-01-15T00:00:00.000Z,16,37.85
2019-01-15T00:00:00.000Z,12,37.88
2021-01-15T00:00:00.000Z,23,37.95
2015-01-15T00:00:00.000Z,14,37.99
2016-01-15T00:00:00.000Z,17,38.1
2009-01-15T00:00:00.000Z,29,38.13
2015-01-15T00:00:00.000Z,13,38.14
2008-01-15T00:00:00.000Z,15,38.16
2010-01-15T00:00:00.000Z,25,38.16
2000-01-15T00:00:00.000Z,14,38.26
2018-01-15T00:00:00.000Z,13,38.35
